_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,song,musicpref_traditional_irish,musicpref_jazz,musicpref_folk,musicpref_hiphop,musicpref_classical,musicpref_none,musicpref_rock,musicpref_hip_hop,musicpref_world,musicpref_pop,musicpref_dance
570eb78083a73509d0e03bd8,taipei_city,female,0,taiwanese,0,1,0,44.0,True,2,3,3,3,4,0,5,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,en,4,2,4,4,2,2,4,4,2,2,4,raining_blood,0,0,0,0,1,0,0,0,0,1,0
570eb76883a73509d0e033fb,taichung_city,female,0,taiwanese,0,2,0,19.0,True,3,4,4,3,3,0,4,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,5,2,4,4,3,4,2,3,2,4,2,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb7ad83a73509d0e04949,taipei_city,male,0,taiwanese,0,4,0,44.0,False,3,3,3,3,3,0,3,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,en,4,2,4,4,1,1,2,4,4,5,4,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb78f83a73509d0e04079,taipei_city,male,0,taiwanese,0,3,0,8.0,True,4,4,3,4,3,0,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,en,5,1,5,1,5,4,2,3,3,4,5,raining_blood,0,0,0,0,0,0,1,0,0,0,0
570eb74e83a73509d0e02b2d,taipei_city,female,0,taiwanese,0,1,1,9.0,False,2,2,1,3,2,0,2,5,2,3,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,en,3,4,2,2,4,2,2,3,2,2,5,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb77083a73509d0e036af,taipei_city,female,0,taiwanese,0,3,0,14.0,True,4,3,3,4,4,0,5,2,4,4,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,en,2,1,5,3,4,4,3,4,5,2,4,raining_blood,0,0,0,0,1,0,1,0,0,1,1
570eb72283a73509d0e01c8d,taipei_city,female,0,taiwanese,0,1,0,22.0,False,4,3,4,4,4,0,5,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,en,5,3,3,4,3,5,4,5,4,2,4,raining_blood,0,0,0,0,1,0,0,0,0,1,0
570eb77483a73509d0e0382b,taichung_city,male,0,taiwanese,0,3,0,15.0,False,3,4,4,4,3,0,4,3,4,4,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,zh_TW,4,4,3,3,3,4,4,4,4,3,4,raining_blood,0,0,0,1,0,0,0,0,0,1,0
570eb7be83a73509d0e04ee5,taipei_city,male,0,taiwanese,0,2,0,56.0,True,2,3,3,2,2,0,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,3,4,4,4,2,4,2,4,4,4,5,raining_blood,0,0,1,0,1,0,0,0,0,0,0
570eb76883a73509d0e033dd,taipei_city,female,0,japanese,0,3,0,21.0,False,2,4,2,3,3,0,4,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,en,5,1,4,4,4,4,4,3,1,2,2,raining_blood,0,1,0,0,1,0,0,0,0,1,0
570eb7b883a73509d0e04ce2,taipei_city,male,0,taiwanese,0,3,0,21.0,False,1,3,2,5,3,0,4,4,1,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,zh_TW,4,4,5,4,4,5,3,4,5,5,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb7ab83a73509d0e048ef,taichung_city,female,0,taiwanese,0,3,0,16.0,True,2,2,3,4,4,0,5,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,5,4,5,2,5,5,4,4,5,4,2,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77b83a73509d0e03a1a,taipei_city,female,0,taiwanese,0,4,0,17.0,False,3,4,4,4,4,0,3,3,1,4,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,en,4,1,4,4,4,4,4,3,3,2,4,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb73483a73509d0e022bd,taichung_city,female,0,taiwanese,0,1,0,17.0,False,2,4,4,3,3,0,5,1,2,5,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,5,1,5,3,3,5,4,5,5,3,5,raining_blood,0,1,0,0,0,0,0,0,1,0,0
570eb73a83a73509d0e024a3,taipei_city,female,0,taiwanese,0,3,0,28.0,False,3,3,2,5,5,0,5,4,3,4,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,en,2,1,4,3,3,5,2,4,3,3,4,raining_blood,0,0,0,0,1,0,1,0,0,1,0
570eb77583a73509d0e03840,taipei_city,female,0,taiwanese,0,3,0,15.0,False,3,3,2,3,3,0,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,en,5,2,5,5,2,3,4,5,2,3,5,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77983a73509d0e039af,taipei_city,male,0,taiwanese,0,4,0,10.0,False,3,4,4,4,5,0,5,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,en,4,2,3,2,3,4,2,4,2,3,5,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77183a73509d0e036f4,taipei_city,female,0,taiwanese,0,3,0,15.0,False,1,3,1,3,3,0,3,3,3,4,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,zh_TW,5,1,5,3,5,2,2,4,4,4,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb74a83a73509d0e029aa,taipei_city,female,0,taiwanese,0,1,0,17.0,True,3,4,3,3,3,0,4,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,4,4,2,4,2,3,3,3,3,3,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77283a73509d0e03727,taipei_city,female,0,taiwanese,0,2,0,30.0,False,3,2,4,2,3,0,4,4,3,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,en,2,1,5,4,5,5,4,5,4,2,2,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb78883a73509d0e03e34,taipei_city,male,0,chinese,0,1,0,33.0,False,3,3,4,5,5,0,5,3,3,5,5,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,en,2,4,2,2,5,1,1,4,5,4,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb74683a73509d0e0286a,taipei_city,female,0,taiwanese,0,1,0,40.0,True,4,3,2,4,2,0,5,5,1,5,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,en,1,1,1,2,2,5,4,2,3,1,2,raining_blood,0,1,0,0,1,0,0,0,0,0,0
570eb77683a73509d0e0388e,taipei_city,female,0,taiwanese,0,4,0,24.0,True,4,2,2,2,2,0,5,4,3,5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,en,2,1,5,1,5,5,4,5,5,4,4,raining_blood,0,0,1,0,1,0,0,0,0,0,0
570eb78b83a73509d0e03ee1,taichung_city,female,0,taiwanese,0,3,0,16.0,True,2,2,4,2,2,0,4,2,3,4,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,5,2,5,2,5,2,4,2,2,4,4,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb77e83a73509d0e03b36,taipei_city,male,0,taiwanese,0,2,0,22.0,False,3,4,3,4,3,0,4,3,2,4,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,5,1,5,2,2,4,4,2,3,4,4,raining_blood,0,1,0,0,0,0,0,0,0,1,0
