_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_familiarity,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,control_power,song_transcendence,song_sadness,song_wonder,song_joyfulactivation,song_tenderness,song_peacefulness,song_nostalgia,song_power,song,musicpref_rock,musicpref_world,musicpref_dance,musicpref_traditional_irish,musicpref_classical,musicpref_pop,musicpref_jazz,musicpref_hip_hop,song_inspired,song_spirituality,song_thrills,song_chills,song_goosebumps,song_overwhelmed,song_shivers,musicpref_none,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,musicpref_folk,musicpref_hiphop
5411059908ad6ee3090e70f4,dublin,female,,irish,,,False,21.0,False,,,,,,,1.0,5.0,5.0,3.0,3.0,3.0,3.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,
541106b808ad6ee3090e7540,dublin,male,,irish,,,False,31.0,False,,,,,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,dust_dublin,1,1,1,1.0,1,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5411076e08ad6ee3090e7782,dublin,male,,irish,,,False,51.0,False,,,,,,,4.0,2.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,dust_dublin,1,1,1,0.0,1,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5411076e08ad6ee3090e7785,dublin,male,,other,,,False,31.0,False,,,,,,,1.0,3.0,4.0,2.0,4.0,3.0,3.0,,,,,,,,,,dust_dublin,1,1,0,0.0,0,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5410f69408ad6ee3090e3881,dublin,male,,irish,,,True,41.0,False,,,,,,,1.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410f69608ad6ee3090e38a4,dublin,female,,irish,,,False,21.0,False,,,,,,,3.0,4.0,4.0,4.0,2.0,2.0,1.0,,,,,,,,,,dust_dublin,0,0,0,0.0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410f95308ad6ee3090e42c5,dublin,male,,irish,,,False,41.0,False,,,,,,,2.0,2.0,4.0,1.0,3.0,3.0,4.0,,,,,,,,,,dust_dublin,1,1,1,0.0,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
5410f95408ad6ee3090e42d1,dublin,male,,irish,,,False,41.0,False,,,,,,,1.0,4.0,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,dust_dublin,1,0,1,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410f9f908ad6ee3090e4555,dublin,female,,irish,,,False,31.0,False,,,,,,,3.0,4.0,4.0,1.0,2.0,4.0,3.0,,,,,,,,,,dust_dublin,1,1,0,1.0,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fab008ad6ee3090e47ed,dublin,male,,irish,,,False,41.0,False,,,,,,,1.0,4.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,dust_dublin,1,0,1,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5410fc0608ad6ee3090e4d07,dublin,male,,irish,,,False,51.0,False,,,,,,,1.0,4.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,dust_dublin,1,1,0,1.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fc0808ad6ee3090e4d27,dublin,male,,irish,,,False,11.0,False,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,dust_dublin,1,1,1,0.0,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fc0908ad6ee3090e4d38,dublin,female,,irish,,,False,21.0,False,,,,,,,3.0,5.0,4.0,3.0,1.0,2.0,1.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fc0908ad6ee3090e4d3f,dublin,female,,other,,,False,31.0,False,,,,,,,1.0,4.0,4.0,1.0,1.0,4.0,3.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fcb908ad6ee3090e4fcb,dublin,male,,irish,,,False,31.0,False,,,,,,,1.0,3.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,,,dust_dublin,1,0,1,1.0,1,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5410fcb908ad6ee3090e4fcf,dublin,female,,irish,,,False,41.0,False,,,,,,,4.0,5.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,dust_dublin,0,0,0,1.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fd5d08ad6ee3090e5238,dublin,male,,irish,,,True,41.0,False,,,,,,,2.0,5.0,4.0,4.0,3.0,4.0,2.0,,,,,,,,,,dust_dublin,1,1,0,0.0,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fda408ad6ee3090e5333,dublin,female,,other,,,False,21.0,False,,,,,,,4.0,3.0,5.0,4.0,1.0,2.0,4.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fda508ad6ee3090e5341,dublin,female,,irish,,,False,31.0,False,,,,,,,1.0,4.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,dust_dublin,1,1,0,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5410fda608ad6ee3090e5350,dublin,female,,other,,,False,31.0,False,,,,,,,3.0,3.0,4.0,1.0,2.0,3.0,1.0,,,,,,,,,,dust_dublin,1,1,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fda708ad6ee3090e5360,dublin,male,,irish,,,False,41.0,False,,,,,,,2.0,4.0,5.0,1.0,1.0,1.0,2.0,,,,,,,,,,dust_dublin,1,0,1,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,
5410fe3b08ad6ee3090e5585,dublin,male,,irish,,,False,41.0,False,,,,,,,2.0,4.0,4.0,1.0,4.0,3.0,4.0,,,,,,,,,,dust_dublin,0,0,1,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410fec908ad6ee3090e57aa,dublin,male,,other,,,False,41.0,False,,,,,,,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,,,dust_dublin,1,1,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5410ffd908ad6ee3090e5b98,dublin,male,False,irish,,1.0,False,57.0,False,,,,,,,1.0,3.0,3.0,3.0,5.0,4.0,3.0,,,,,,,,,,dust_dublin,1,0,0,1.0,1,1,1,0.0,,,,,,,,,,,,,,,,,,,,,,
5411005f08ad6ee3090e5db1,dublin,female,False,irish,,3.0,False,49.0,False,,,,,,,1.0,4.0,4.0,3.0,3.0,3.0,4.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411006008ad6ee3090e5dbc,dublin,female,True,other,,3.0,False,27.0,False,,,,,,,1.0,4.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411006008ad6ee3090e5dc0,dublin,male,False,other,,1.0,False,50.0,False,,,,,,,1.0,2.0,3.0,2.0,3.0,2.0,3.0,,,,,,,,,,dust_dublin,1,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411015708ad6ee3090e617c,dublin,male,False,irish,,3.0,False,37.0,False,,,,,,,2.0,3.0,4.0,4.0,3.0,4.0,1.0,,,,,,,,,,dust_dublin,1,1,1,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
5411031108ad6ee3090e67f3,dublin,female,True,irish,,2.0,False,12.0,False,,,,,,,3.0,1.0,4.0,4.0,1.0,2.0,2.0,,,,,,,,,,dust_dublin,0,0,0,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
541103e208ad6ee3090e6ac5,dublin,female,True,irish,,2.0,False,9.0,False,,,,,,,1.0,5.0,5.0,1.0,4.0,2.0,4.0,,,,,,,,,,dust_dublin,0,0,1,0.0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,
