_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_pop,musicpref_hiphop,musicpref_jazz,musicpref_classical,musicpref_folk,musicpref_rock,musicpref_world,musicpref_dance
570eb78c83a73509d0e03f6e,taipei_city,en,taiwanese,11,male,False,1,3,5,3,4,2,2,1,3,5,4,5,False,5,5,5,5,2,5,-1,3,3,3,3,4,3,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb7b683a73509d0e04c65,taipei_city,en,taiwanese,26,male,False,2,2,4,4,2,4,2,5,4,4,3,4,False,3,1,3,4,2,2,-1,4,4,4,4,4,4,4,hallelujah_taiwan,1,1,0,0,1,1,0,1
570eb74183a73509d0e026db,taipei_city,en,taiwanese,26,male,False,4,2,5,2,4,5,4,4,3,4,5,3,False,1,1,4,1,1,2,-1,5,3,4,3,3,4,3,hallelujah_taiwan,1,1,1,0,1,1,0,1
570eb71e83a73509d0e01b7e,taipei_city,en,taiwanese,6,female,False,4,1,4,4,4,1,2,4,1,4,3,5,False,3,5,5,3,3,5,-1,5,5,5,5,5,5,2,hallelujah_taiwan,0,0,0,0,1,0,0,0
570eb7b383a73509d0e04b54,taipei_city,zh_TW,taiwanese,10,male,False,4,4,3,3,3,5,3,3,3,3,1,5,False,2,1,3,5,3,3,-1,5,5,5,5,4,4,1,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb73b83a73509d0e024e1,taipei_city,en,taiwanese,8,female,False,3,5,5,2,5,3,3,1,5,5,1,5,False,5,5,5,5,5,5,-1,5,5,5,5,5,5,5,hallelujah_taiwan,0,0,0,0,0,0,0,1
570eb78d83a73509d0e03fa9,taipei_city,en,taiwanese,18,female,False,5,2,4,1,5,5,2,2,3,2,2,4,False,1,2,5,2,2,2,-1,3,5,5,2,3,5,1,hallelujah_taiwan,1,0,0,1,0,0,0,0
570eb75b83a73509d0e02f7a,taipei_city,en,taiwanese,13,female,False,4,1,5,2,4,4,2,4,4,2,3,4,False,4,3,3,4,3,4,-1,3,4,4,5,3,4,5,hallelujah_taiwan,1,0,0,1,0,0,1,0
570eb77a83a73509d0e039fc,taipei_city,zh_TW,taiwanese,16,female,False,2,1,5,2,4,4,3,2,4,4,2,4,False,4,4,4,4,2,4,-1,3,5,5,5,3,4,4,hallelujah_taiwan,1,1,1,1,0,1,0,0
570eb75d83a73509d0e03063,taipei_city,en,taiwanese,10,male,False,4,1,5,1,5,5,4,4,1,1,1,3,False,1,3,3,1,1,5,-1,1,5,5,5,3,3,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb76783a73509d0e0336d,taipei_city,en,taiwanese,38,female,False,4,2,4,2,4,4,2,3,4,3,1,5,False,2,4,4,4,2,5,-1,1,4,1,5,4,2,4,hallelujah_taiwan,1,0,1,1,0,0,0,0
570eb75383a73509d0e02cbf,taipei_city,zh_TW,taiwanese,12,male,False,3,3,3,3,3,1,3,1,1,3,2,5,False,4,4,5,3,3,4,-1,5,5,5,5,4,5,4,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb79583a73509d0e04206,taipei_city,en,taiwanese,16,male,False,5,2,5,4,4,3,4,4,4,3,4,5,False,3,2,3,1,3,3,-1,4,4,4,4,4,4,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb75c83a73509d0e02ff2,taipei_city,en,taiwanese,12,male,False,4,3,5,4,3,4,3,4,4,2,3,4,False,4,2,3,2,3,3,-1,2,5,5,4,4,5,5,hallelujah_taiwan,1,0,0,1,0,0,0,0
570eb79b83a73509d0e04409,taipei_city,en,taiwanese,17,female,False,4,2,4,4,1,5,4,4,2,2,4,4,False,3,4,4,3,3,4,-1,2,4,5,5,4,4,1,hallelujah_taiwan,1,0,1,0,0,0,0,0
570eb79483a73509d0e0419b,taichung_city,en,taiwanese,23,female,False,4,3,5,2,5,4,2,5,4,3,2,4,False,4,2,3,2,2,2,-1,4,3,4,4,1,3,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb75b83a73509d0e02f73,taichung_city,en,taiwanese,17,male,False,4,5,4,2,5,3,4,4,4,3,1,4,False,1,2,2,4,3,4,-1,5,5,5,5,5,5,5,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb78183a73509d0e03c14,taichung_city,en,taiwanese,24,female,False,2,2,2,4,1,5,3,3,2,2,1,4,False,4,3,4,2,1,3,-1,3,5,5,5,1,5,4,hallelujah_taiwan,1,0,0,0,0,1,0,0
570eb76383a73509d0e0325f,taichung_city,zh_TW,taiwanese,24,female,False,3,3,3,3,3,3,3,3,3,3,4,3,False,5,3,5,1,3,3,-1,5,5,5,5,3,5,5,hallelujah_taiwan,0,0,0,0,0,1,0,0
570eb73c83a73509d0e02565,taichung_city,en,taiwanese,20,female,False,4,2,5,3,4,5,2,3,3,3,1,4,False,3,5,5,5,1,3,-1,5,3,3,3,1,3,1,hallelujah_taiwan,0,1,0,0,0,0,0,0
570eb77583a73509d0e0383f,taichung_city,en,taiwanese,17,female,False,2,1,3,1,1,5,2,3,4,2,2,5,False,4,4,3,3,2,3,-1,4,3,4,4,3,4,4,hallelujah_taiwan,1,0,0,1,1,0,0,0
570eb73f83a73509d0e0262f,taichung_city,en,taiwanese,17,male,False,4,4,2,4,4,4,3,4,4,4,4,5,False,2,1,1,1,2,2,-1,4,4,4,4,4,4,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb7bc83a73509d0e04e43,taichung_city,en,taiwanese,7,female,False,4,1,2,4,4,1,4,1,1,2,3,5,False,4,5,5,5,5,5,-1,1,1,1,1,1,1,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb76683a73509d0e03340,taichung_city,en,taiwanese,29,male,False,4,1,5,4,4,4,2,4,4,4,2,3,False,4,3,4,2,2,3,-1,4,4,4,3,3,4,4,hallelujah_taiwan,1,0,1,1,0,1,0,0
570eb79383a73509d0e04177,taichung_city,en,taiwanese,16,female,False,5,1,5,4,3,4,2,4,3,5,3,5,False,3,5,5,5,1,5,-1,3,5,4,4,4,5,4,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb7ba83a73509d0e04d91,taichung_city,en,taiwanese,18,female,False,2,2,2,4,2,4,3,4,4,4,2,2,False,2,5,4,3,2,4,-1,2,5,5,5,4,5,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb75a83a73509d0e02f25,taichung_city,en,taiwanese,28,female,False,2,1,5,4,2,5,1,5,3,2,2,3,False,3,3,3,1,2,3,-1,2,4,4,4,3,4,1,hallelujah_taiwan,1,1,0,0,0,1,0,0
570eb7b883a73509d0e04cd2,taichung_city,en,taiwanese,16,male,False,5,5,5,5,5,5,5,5,5,5,5,5,False,5,5,5,5,5,5,-1,5,5,5,5,5,5,5,hallelujah_taiwan,1,1,1,1,1,1,1,1
