_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_world,musicpref_folk,musicpref_classical,musicpref_dance,musicpref_rock,musicpref_pop,musicpref_jazz,musicpref_hiphop
570eb75f83a73509d0e03131,taipei_city,en,taiwanese,25,female,False,5,1,5,2,3,3,4,4,4,5,3,5,False,4,4,4,4,3,5,-1,5,5,5,5,5,5,1,humming,0,0,0,1,0,1,0,1
570eb79a83a73509d0e043cf,taipei_city,en,taiwanese,11,male,False,2,5,1,3,2,5,2,3,2,1,1,3,False,3,3,4,3,3,3,-1,3,4,4,3,3,3,1,humming,0,0,0,0,1,1,0,0
570eb76283a73509d0e0322a,taipei_city,en,taiwanese,26,female,False,4,1,5,1,5,5,2,5,4,2,2,5,False,3,3,3,4,3,4,-1,5,2,2,5,4,2,1,humming,0,0,0,0,1,1,0,0
570eb7b783a73509d0e04c75,taipei_city,en,taiwanese,23,female,False,4,1,5,4,3,4,3,5,3,3,4,5,False,1,2,3,3,1,3,-1,4,4,4,4,4,3,1,humming,0,0,1,0,0,1,1,0
570eb72183a73509d0e01c7e,taipei_city,en,taiwanese,43,male,False,4,2,5,4,1,5,2,5,5,2,1,2,False,2,2,3,2,3,3,-1,4,3,3,4,4,4,1,humming,0,0,1,0,1,0,1,0
570eb76383a73509d0e0323a,taipei_city,en,taiwanese,25,female,False,2,1,4,4,3,5,1,5,4,2,1,4,False,2,4,4,5,2,4,-1,2,4,3,4,4,3,1,humming,1,0,0,0,0,1,0,0
570eb73283a73509d0e021d1,taipei_city,en,taiwanese,14,male,False,5,3,5,3,4,2,5,4,4,5,4,5,False,3,4,4,3,2,4,-1,2,3,4,4,4,3,1,humming,1,0,0,0,0,0,0,0
570eb7a983a73509d0e04865,taipei_city,en,taiwanese,9,female,False,3,3,3,3,3,3,3,3,3,3,3,5,False,5,5,5,5,4,5,-1,4,5,4,5,5,5,1,humming,0,0,0,0,0,1,0,0
570eb7a083a73509d0e04580,taipei_city,en,taiwanese,9,male,False,4,5,2,1,3,3,4,2,2,2,3,5,False,3,4,4,2,3,3,-1,2,2,1,1,2,2,1,humming,0,0,0,0,0,1,0,0
570eb78883a73509d0e03e29,taipei_city,en,taiwanese,13,male,False,4,4,5,4,3,4,3,4,4,3,4,2,False,5,2,3,3,3,3,-1,4,2,3,3,2,3,1,humming,0,0,1,0,0,1,0,0
570eb76283a73509d0e031f1,taipei_city,en,taiwanese,38,male,False,4,2,4,2,4,4,4,4,4,4,2,4,False,5,2,3,4,3,3,-1,4,4,4,4,4,4,4,humming,0,1,1,0,0,1,1,0
570eb7bb83a73509d0e04dcf,taichung_city,en,taiwanese,24,male,False,5,2,5,4,2,4,4,4,4,4,1,3,False,3,3,3,2,3,3,-1,3,4,3,4,2,2,1,humming,0,0,0,0,1,1,0,0
570eb75e83a73509d0e030ae,taichung_city,en,taiwanese,37,male,False,3,3,3,2,3,3,3,4,3,3,1,2,False,3,3,3,1,3,3,-1,3,3,3,3,3,3,3,humming,0,0,0,0,0,1,0,0
570eb72183a73509d0e01c76,taichung_city,en,taiwanese,14,male,False,3,3,3,3,3,3,3,3,3,3,1,3,False,2,2,3,3,2,3,-1,3,4,4,4,3,4,3,humming,0,0,0,0,0,1,0,0
570eb7bd83a73509d0e04ea0,taichung_city,zh_TW,taiwanese,12,female,False,4,4,2,3,2,3,4,4,4,2,2,3,False,2,1,2,3,2,3,-1,4,3,4,4,4,3,1,humming,0,0,0,0,0,1,0,0
570eb79c83a73509d0e04477,taichung_city,zh_TW,taiwanese,20,male,False,3,3,3,4,2,3,2,3,3,3,1,1,False,3,3,3,3,3,3,-1,3,3,3,3,3,2,1,humming,0,0,0,0,0,1,0,0
570eb77683a73509d0e0387a,taichung_city,en,taiwanese,23,male,False,3,3,4,4,2,5,2,4,4,3,2,5,False,4,3,2,5,3,3,-1,4,5,4,5,2,2,1,humming,0,0,0,0,0,1,0,0
570eb79383a73509d0e04190,taichung_city,en,taiwanese,24,male,False,5,4,2,5,2,5,4,5,4,3,2,5,False,2,3,3,4,3,3,-1,4,4,4,4,3,4,1,humming,0,1,1,0,0,1,0,0
570eb74683a73509d0e0286f,taichung_city,en,taiwanese,24,male,False,5,1,4,3,3,4,4,5,4,4,1,5,False,2,2,3,2,2,3,-1,2,3,3,4,3,3,1,humming,0,0,0,0,0,1,0,0
570eb75583a73509d0e02d8a,taichung_city,en,taiwanese,34,female,False,3,1,4,2,5,2,4,2,3,4,5,3,False,1,3,3,2,3,3,-1,4,3,3,4,4,3,1,humming,0,0,0,1,1,1,1,0
570eb7ab83a73509d0e048f0,taichung_city,en,taiwanese,10,female,False,2,4,3,4,3,3,2,4,4,2,3,4,False,2,3,2,4,3,3,-1,3,3,4,4,4,3,1,humming,0,0,0,0,0,1,0,0
