_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_folk,musicpref_hiphop,musicpref_jazz,musicpref_rock,musicpref_dance,musicpref_classical,musicpref_pop,musicpref_world
570eb74183a73509d0e026af,taipei_city,zh_TW,taiwanese,14,male,False,3,4,2,2,3,4,3,2,4,2,2,4,False,5,2,3,2,3,3,-1,2,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb79683a73509d0e04236,taipei_city,en,taiwanese,41,female,False,4,4,2,2,4,4,2,4,4,4,1,3,False,1,3,3,4,3,3,-1,3,3,3,3,3,3,1,dust_taiwan,0,0,0,0,0,0,1,1
570eb72083a73509d0e01c27,taipei_city,en,taiwanese,28,male,False,4,2,4,2,4,4,2,5,2,4,3,4,False,4,4,4,3,4,4,-1,4,5,4,4,2,5,1,dust_taiwan,0,0,1,1,0,1,1,0
570eb79d83a73509d0e044ac,taipei_city,en,taiwanese,26,male,False,2,1,4,4,3,4,4,4,4,2,3,5,False,3,1,3,4,2,2,-1,5,5,5,5,4,4,4,dust_taiwan,0,1,0,1,1,1,1,0
570eb75383a73509d0e02cdd,taipei_city,en,taiwanese,9,female,False,3,3,3,3,3,3,3,3,3,3,2,4,False,3,4,4,3,3,3,-1,3,5,5,5,3,3,2,dust_taiwan,0,0,0,0,0,0,1,0
570eb77e83a73509d0e03b28,taipei_city,zh_TW,taiwanese,18,male,False,5,2,5,3,1,5,1,5,5,2,3,4,False,1,1,2,2,1,2,-1,1,5,5,5,4,4,2,dust_taiwan,0,1,0,1,0,0,1,0
570eb74a83a73509d0e029c4,taichung_city,en,taiwanese,12,male,False,4,3,5,4,3,4,2,5,4,2,2,4,False,2,5,4,4,4,3,-1,2,5,5,4,4,5,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb75783a73509d0e02e2f,taichung_city,en,taiwanese,18,female,False,4,2,3,4,2,3,2,4,4,4,3,4,False,3,4,4,4,3,4,-1,3,4,4,4,2,2,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb73583a73509d0e022d2,taichung_city,en,taiwanese,36,male,False,5,2,5,5,5,1,5,2,4,5,5,5,False,4,1,3,1,2,2,-1,4,5,5,5,3,4,4,dust_taiwan,0,0,0,0,0,1,0,0
570eb75b83a73509d0e02fae,taichung_city,en,taiwanese,20,male,False,4,4,4,2,4,4,4,3,3,3,4,4,False,5,4,4,3,3,3,-1,2,5,5,4,2,3,1,dust_taiwan,0,1,0,1,1,0,1,0
570eb7af83a73509d0e049d4,taichung_city,en,taiwanese,17,male,False,3,3,4,2,3,5,2,3,4,4,1,2,False,4,3,4,2,2,3,-1,2,3,3,3,3,3,2,dust_taiwan,0,0,0,1,0,0,1,0
570eb78883a73509d0e03dec,taichung_city,en,taiwanese,16,male,False,5,1,4,4,2,2,2,5,2,1,2,4,False,2,1,2,2,1,2,-1,5,5,5,4,4,4,1,dust_taiwan,0,0,1,0,0,1,1,0
570eb73683a73509d0e02351,taichung_city,en,american,24,male,False,3,1,5,2,4,2,4,2,2,4,4,4,False,3,2,2,2,3,2,-1,3,4,3,3,2,4,1,dust_taiwan,1,1,1,1,1,1,1,1
570eb7b883a73509d0e04cda,taichung_city,en,taiwanese,28,male,False,4,1,4,4,4,4,1,3,3,2,3,5,False,2,1,2,3,2,2,-1,1,5,5,5,2,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73a83a73509d0e024c0,taichung_city,en,taiwanese,18,male,False,5,1,4,4,4,4,5,4,4,2,3,4,False,2,2,3,3,2,3,-1,2,4,4,5,3,4,1,dust_taiwan,0,1,0,0,0,1,1,0
570eb7be83a73509d0e04eda,taichung_city,en,taiwanese,20,female,False,4,2,5,2,3,5,4,3,3,3,2,3,False,4,3,3,1,2,4,-1,4,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb72f83a73509d0e02110,taichung_city,en,taiwanese,28,female,False,3,1,3,3,3,4,2,4,4,3,4,4,False,2,3,2,2,2,3,-1,1,4,4,4,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
570eb73783a73509d0e02393,taichung_city,en,taiwanese,19,male,False,4,2,3,4,3,4,3,5,4,2,3,3,False,3,4,2,3,3,4,-1,3,4,4,4,3,4,2,dust_taiwan,0,0,0,1,0,1,1,0
570eb78383a73509d0e03cac,taichung_city,en,taiwanese,19,male,False,3,4,4,2,3,4,3,3,4,4,3,4,False,3,3,2,2,3,4,-1,4,5,5,4,2,4,4,dust_taiwan,0,0,0,0,0,0,1,0
570eb72d83a73509d0e02040,taichung_city,zh_TW,taiwanese,19,female,False,4,1,2,4,3,5,2,5,5,2,4,1,False,4,1,2,1,3,3,-1,5,1,3,2,2,3,1,dust_taiwan,0,0,0,0,0,1,1,0
